"homestatecode","salestatecode","month","year","txn_count","salestatename","homestatename"
"05","01","7","2023","4","JAMMU AND KASHMIR","UTTARAKHAND"
"06","01","7","2023","2","JAMMU AND KASHMIR","HARYANA"
"07","01","7","2023","4","JAMMU AND KASHMIR","DELHI"
"08","01","7","2023","1","JAMMU AND KASHMIR","RAJASTHAN"
"09","01","7","2023","7410","JAMMU AND KASHMIR","UTTAR PRADESH"
"10","01","7","2023","1860","JAMMU AND KASHMIR","BIHAR"
"18","01","7","2023","2","JAMMU AND KASHMIR","ASSAM"
"19","01","7","2023","8","JAMMU AND KASHMIR","WEST BENGAL"
"20","01","7","2023","8","JAMMU AND KASHMIR","JHARKHAND"
"22","01","7","2023","621","JAMMU AND KASHMIR","CHHATTISGARH"
"23","01","7","2023","492","JAMMU AND KASHMIR","MADHYA PRADESH"
"24","01","7","2023","1","JAMMU AND KASHMIR","GUJARAT"
"27","01","7","2023","3","JAMMU AND KASHMIR","MAHARASHTRA"
"33","01","7","2023","1","JAMMU AND KASHMIR","TAMIL NADU"
"05","02","7","2023","27","HIMACHAL PRADESH","UTTARAKHAND"
"06","02","7","2023","15","HIMACHAL PRADESH","HARYANA"
"07","02","7","2023","24","HIMACHAL PRADESH","DELHI"
"08","02","7","2023","4","HIMACHAL PRADESH","RAJASTHAN"
"09","02","7","2023","6004","HIMACHAL PRADESH","UTTAR PRADESH"
"10","02","7","2023","1864","HIMACHAL PRADESH","BIHAR"
"19","02","7","2023","10","HIMACHAL PRADESH","WEST BENGAL"
"20","02","7","2023","19","HIMACHAL PRADESH","JHARKHAND"
"23","02","7","2023","175","HIMACHAL PRADESH","MADHYA PRADESH"
"27","02","7","2023","4","HIMACHAL PRADESH","MAHARASHTRA"
"05","03","7","2023","3","PUNJAB","UTTARAKHAND"
"06","03","7","2023","2","PUNJAB","HARYANA"
"07","03","7","2023","5","PUNJAB","DELHI"
"08","03","7","2023","5","PUNJAB","RAJASTHAN"
"09","03","7","2023","302","PUNJAB","UTTAR PRADESH"
"10","03","7","2023","477","PUNJAB","BIHAR"
"19","03","7","2023","2","PUNJAB","WEST BENGAL"
"22","03","7","2023","1","PUNJAB","CHHATTISGARH"
"23","03","7","2023","8","PUNJAB","MADHYA PRADESH"
"05","04","7","2023","1","CHANDIGARH","UTTARAKHAND"
"09","04","7","2023","8","CHANDIGARH","UTTAR PRADESH"
"10","04","7","2023","15","CHANDIGARH","BIHAR"
"06","05","7","2023","10","UTTARAKHAND","HARYANA"
"07","05","7","2023","78","UTTARAKHAND","DELHI"
"08","05","7","2023","2","UTTARAKHAND","RAJASTHAN"
"09","05","7","2023","5978","UTTARAKHAND","UTTAR PRADESH"
"10","05","7","2023","1250","UTTARAKHAND","BIHAR"
"19","05","7","2023","2","UTTARAKHAND","WEST BENGAL"
"23","05","7","2023","31","UTTARAKHAND","MADHYA PRADESH"
"24","05","7","2023","1","UTTARAKHAND","GUJARAT"
"27","05","7","2023","3","UTTARAKHAND","MAHARASHTRA"
"01","06","7","2023","9","HARYANA","JAMMU AND KASHMIR"
"02","06","7","2023","2","HARYANA","HIMACHAL PRADESH"
"05","06","7","2023","231","HARYANA","UTTARAKHAND"
"07","06","7","2023","594","HARYANA","DELHI"
"08","06","7","2023","835","HARYANA","RAJASTHAN"
"09","06","7","2023","23431","HARYANA","UTTAR PRADESH"
"10","06","7","2023","18998","HARYANA","BIHAR"
"16","06","7","2023","1","HARYANA","TRIPURA"
"18","06","7","2023","12","HARYANA","ASSAM"
"19","06","7","2023","95","HARYANA","WEST BENGAL"
"20","06","7","2023","107","HARYANA","JHARKHAND"
"21","06","7","2023","34","HARYANA","ODISHA"
"22","06","7","2023","53","HARYANA","CHHATTISGARH"
"23","06","7","2023","4959","HARYANA","MADHYA PRADESH"
"24","06","7","2023","15","HARYANA","GUJARAT"
"27","06","7","2023","16","HARYANA","MAHARASHTRA"
"33","06","7","2023","4","HARYANA","TAMIL NADU"
"01","07","7","2023","48","DELHI","JAMMU AND KASHMIR"
"02","07","7","2023","27","DELHI","HIMACHAL PRADESH"
"05","07","7","2023","3870","DELHI","UTTARAKHAND"
"06","07","7","2023","297","DELHI","HARYANA"
"08","07","7","2023","1712","DELHI","RAJASTHAN"
"09","07","7","2023","109945","DELHI","UTTAR PRADESH"
"10","07","7","2023","130774","DELHI","BIHAR"
"13","07","7","2023","1","DELHI","NAGALAND"
"14","07","7","2023","2","DELHI","MANIPUR"
"18","07","7","2023","101","DELHI","ASSAM"
"19","07","7","2023","1072","DELHI","WEST BENGAL"
"20","07","7","2023","1571","DELHI","JHARKHAND"
"21","07","7","2023","286","DELHI","ODISHA"
"22","07","7","2023","316","DELHI","CHHATTISGARH"
"23","07","7","2023","14310","DELHI","MADHYA PRADESH"
"24","07","7","2023","121","DELHI","GUJARAT"
"25","07","7","2023","1","DELHI","DAMAN AND DIU"
"27","07","7","2023","136","DELHI","MAHARASHTRA"
"28","07","7","2023","12","DELHI","ANDHRA PRADESH"
"29","07","7","2023","8","DELHI","KARNATAKA"
"32","07","7","2023","57","DELHI","KERALA"
"33","07","7","2023","124","DELHI","TAMIL NADU"
"05","08","7","2023","12","RAJASTHAN","UTTARAKHAND"
"06","08","7","2023","116","RAJASTHAN","HARYANA"
"07","08","7","2023","102","RAJASTHAN","DELHI"
"09","08","7","2023","1374","RAJASTHAN","UTTAR PRADESH"
"10","08","7","2023","2621","RAJASTHAN","BIHAR"
"18","08","7","2023","3","RAJASTHAN","ASSAM"
"19","08","7","2023","21","RAJASTHAN","WEST BENGAL"
"20","08","7","2023","13","RAJASTHAN","JHARKHAND"
"22","08","7","2023","15","RAJASTHAN","CHHATTISGARH"
"23","08","7","2023","1366","RAJASTHAN","MADHYA PRADESH"
"24","08","7","2023","45","RAJASTHAN","GUJARAT"
"27","08","7","2023","26","RAJASTHAN","MAHARASHTRA"
"29","08","7","2023","3","RAJASTHAN","KARNATAKA"
"05","09","7","2023","2","UTTAR PRADESH","UTTARAKHAND"
"06","09","7","2023","1","UTTAR PRADESH","HARYANA"
"07","09","7","2023","61","UTTAR PRADESH","DELHI"
"08","09","7","2023","1","UTTAR PRADESH","RAJASTHAN"
"10","09","7","2023","24","UTTAR PRADESH","BIHAR"
"20","09","7","2023","1","UTTAR PRADESH","JHARKHAND"
"22","09","7","2023","2","UTTAR PRADESH","CHHATTISGARH"
"23","09","7","2023","26","UTTAR PRADESH","MADHYA PRADESH"
"27","09","7","2023","54","UTTAR PRADESH","MAHARASHTRA"
"05","10","7","2023","19","BIHAR","UTTARAKHAND"
"06","10","7","2023","48","BIHAR","HARYANA"
"07","10","7","2023","890","BIHAR","DELHI"
"08","10","7","2023","23","BIHAR","RAJASTHAN"
"09","10","7","2023","481","BIHAR","UTTAR PRADESH"
"13","10","7","2023","1","BIHAR","NAGALAND"
"14","10","7","2023","2","BIHAR","MANIPUR"
"18","10","7","2023","27","BIHAR","ASSAM"
"19","10","7","2023","102","BIHAR","WEST BENGAL"
"20","10","7","2023","263","BIHAR","JHARKHAND"
"21","10","7","2023","29","BIHAR","ODISHA"
"22","10","7","2023","56","BIHAR","CHHATTISGARH"
"23","10","7","2023","58","BIHAR","MADHYA PRADESH"
"24","10","7","2023","21","BIHAR","GUJARAT"
"25","10","7","2023","1","BIHAR","DAMAN AND DIU"
"27","10","7","2023","174","BIHAR","MAHARASHTRA"
"28","10","7","2023","2","BIHAR","ANDHRA PRADESH"
"29","10","7","2023","9","BIHAR","KARNATAKA"
"09","11","7","2023","4","SIKKIM","UTTAR PRADESH"
"10","11","7","2023","67","SIKKIM","BIHAR"
"21","11","7","2023","1","SIKKIM","ODISHA"
"23","11","7","2023","1","SIKKIM","MADHYA PRADESH"
"06","13","7","2023","1","NAGALAND","HARYANA"
"14","15","7","2023","66","MIZORAM","MANIPUR"
"06","16","7","2023","8","TRIPURA","HARYANA"
"07","16","7","2023","1","TRIPURA","DELHI"
"10","16","7","2023","8","TRIPURA","BIHAR"
"18","16","7","2023","9","TRIPURA","ASSAM"
"20","16","7","2023","1","TRIPURA","JHARKHAND"
"10","17","7","2023","8","MEGHALAYA","BIHAR"
"16","17","7","2023","3","MEGHALAYA","TRIPURA"
"18","17","7","2023","5","MEGHALAYA","ASSAM"
"19","17","7","2023","1","MEGHALAYA","WEST BENGAL"
"10","18","7","2023","1","ASSAM","BIHAR"
"05","19","7","2023","1","WEST BENGAL","UTTARAKHAND"
"07","19","7","2023","27","WEST BENGAL","DELHI"
"09","19","7","2023","68","WEST BENGAL","UTTAR PRADESH"
"10","19","7","2023","758","WEST BENGAL","BIHAR"
"20","19","7","2023","4","WEST BENGAL","JHARKHAND"
"21","19","7","2023","7","WEST BENGAL","ODISHA"
"23","19","7","2023","5","WEST BENGAL","MADHYA PRADESH"
"24","19","7","2023","3","WEST BENGAL","GUJARAT"
"27","19","7","2023","4","WEST BENGAL","MAHARASHTRA"
"33","19","7","2023","1","WEST BENGAL","TAMIL NADU"
"07","20","7","2023","26","JHARKHAND","DELHI"
"08","20","7","2023","1","JHARKHAND","RAJASTHAN"
"09","20","7","2023","50","JHARKHAND","UTTAR PRADESH"
"10","20","7","2023","1081","JHARKHAND","BIHAR"
"19","20","7","2023","2","JHARKHAND","WEST BENGAL"
"22","20","7","2023","22","JHARKHAND","CHHATTISGARH"
"27","20","7","2023","13","JHARKHAND","MAHARASHTRA"
"28","20","7","2023","1","JHARKHAND","ANDHRA PRADESH"
"09","21","7","2023","1","ODISHA","UTTAR PRADESH"
"10","21","7","2023","1","ODISHA","BIHAR"
"24","21","7","2023","3","ODISHA","GUJARAT"
"07","22","7","2023","1","CHHATTISGARH","DELHI"
"08","22","7","2023","5","CHHATTISGARH","RAJASTHAN"
"09","22","7","2023","46","CHHATTISGARH","UTTAR PRADESH"
"10","22","7","2023","82","CHHATTISGARH","BIHAR"
"20","22","7","2023","2","CHHATTISGARH","JHARKHAND"
"21","22","7","2023","4","CHHATTISGARH","ODISHA"
"23","22","7","2023","49","CHHATTISGARH","MADHYA PRADESH"
"27","22","7","2023","1","CHHATTISGARH","MAHARASHTRA"
"33","22","7","2023","1","CHHATTISGARH","TAMIL NADU"
"05","23","7","2023","2","MADHYA PRADESH","UTTARAKHAND"
"06","23","7","2023","22","MADHYA PRADESH","HARYANA"
"07","23","7","2023","74","MADHYA PRADESH","DELHI"
"08","23","7","2023","132","MADHYA PRADESH","RAJASTHAN"
"09","23","7","2023","1406","MADHYA PRADESH","UTTAR PRADESH"
"10","23","7","2023","629","MADHYA PRADESH","BIHAR"
"18","23","7","2023","1","MADHYA PRADESH","ASSAM"
"19","23","7","2023","1","MADHYA PRADESH","WEST BENGAL"
"20","23","7","2023","5","MADHYA PRADESH","JHARKHAND"
"21","23","7","2023","19","MADHYA PRADESH","ODISHA"
"22","23","7","2023","127","MADHYA PRADESH","CHHATTISGARH"
"24","23","7","2023","17","MADHYA PRADESH","GUJARAT"
"27","23","7","2023","122","MADHYA PRADESH","MAHARASHTRA"
"28","23","7","2023","1","MADHYA PRADESH","ANDHRA PRADESH"
"29","23","7","2023","1","MADHYA PRADESH","KARNATAKA"
"32","23","7","2023","1","MADHYA PRADESH","KERALA"
"08","24","7","2023","484","GUJARAT","RAJASTHAN"
"09","24","7","2023","4445","GUJARAT","UTTAR PRADESH"
"19","24","7","2023","1","GUJARAT","WEST BENGAL"
"20","24","7","2023","27","GUJARAT","JHARKHAND"
"21","24","7","2023","201","GUJARAT","ODISHA"
"22","24","7","2023","73","GUJARAT","CHHATTISGARH"
"23","24","7","2023","2579","GUJARAT","MADHYA PRADESH"
"28","24","7","2023","2","GUJARAT","ANDHRA PRADESH"
"29","24","7","2023","8","GUJARAT","KARNATAKA"
"32","24","7","2023","1","GUJARAT","KERALA"
"33","24","7","2023","1","GUJARAT","TAMIL NADU"
"01","25","7","2023","1","DAMAN AND DIU","JAMMU AND KASHMIR"
"05","25","7","2023","7","DAMAN AND DIU","UTTARAKHAND"
"06","25","7","2023","4","DAMAN AND DIU","HARYANA"
"07","25","7","2023","1","DAMAN AND DIU","DELHI"
"08","25","7","2023","19","DAMAN AND DIU","RAJASTHAN"
"09","25","7","2023","1550","DAMAN AND DIU","UTTAR PRADESH"
"10","25","7","2023","2354","DAMAN AND DIU","BIHAR"
"18","25","7","2023","7","DAMAN AND DIU","ASSAM"
"19","25","7","2023","32","DAMAN AND DIU","WEST BENGAL"
"20","25","7","2023","28","DAMAN AND DIU","JHARKHAND"
"21","25","7","2023","44","DAMAN AND DIU","ODISHA"
"22","25","7","2023","21","DAMAN AND DIU","CHHATTISGARH"
"23","25","7","2023","519","DAMAN AND DIU","MADHYA PRADESH"
"24","25","7","2023","465","DAMAN AND DIU","GUJARAT"
"27","25","7","2023","448","DAMAN AND DIU","MAHARASHTRA"
"29","25","7","2023","1","DAMAN AND DIU","KARNATAKA"
"32","25","7","2023","4","DAMAN AND DIU","KERALA"
"33","25","7","2023","1","DAMAN AND DIU","TAMIL NADU"
"01","27","7","2023","1","MAHARASHTRA","JAMMU AND KASHMIR"
"05","27","7","2023","30","MAHARASHTRA","UTTARAKHAND"
"06","27","7","2023","19","MAHARASHTRA","HARYANA"
"07","27","7","2023","35","MAHARASHTRA","DELHI"
"08","27","7","2023","146","MAHARASHTRA","RAJASTHAN"
"09","27","7","2023","14539","MAHARASHTRA","UTTAR PRADESH"
"10","27","7","2023","9682","MAHARASHTRA","BIHAR"
"18","27","7","2023","26","MAHARASHTRA","ASSAM"
"19","27","7","2023","109","MAHARASHTRA","WEST BENGAL"
"20","27","7","2023","140","MAHARASHTRA","JHARKHAND"
"22","27","7","2023","71","MAHARASHTRA","CHHATTISGARH"
"23","27","7","2023","571","MAHARASHTRA","MADHYA PRADESH"
"24","27","7","2023","138","MAHARASHTRA","GUJARAT"
"28","27","7","2023","26","MAHARASHTRA","ANDHRA PRADESH"
"29","27","7","2023","175","MAHARASHTRA","KARNATAKA"
"32","27","7","2023","6","MAHARASHTRA","KERALA"
"33","27","7","2023","142","MAHARASHTRA","TAMIL NADU"
"05","29","7","2023","1","KARNATAKA","UTTARAKHAND"
"07","29","7","2023","6","KARNATAKA","DELHI"
"08","29","7","2023","3","KARNATAKA","RAJASTHAN"
"09","29","7","2023","83","KARNATAKA","UTTAR PRADESH"
"10","29","7","2023","331","KARNATAKA","BIHAR"
"16","29","7","2023","3","KARNATAKA","TRIPURA"
"19","29","7","2023","1","KARNATAKA","WEST BENGAL"
"20","29","7","2023","5","KARNATAKA","JHARKHAND"
"21","29","7","2023","10","KARNATAKA","ODISHA"
"23","29","7","2023","10","KARNATAKA","MADHYA PRADESH"
"24","29","7","2023","2","KARNATAKA","GUJARAT"
"27","29","7","2023","40","KARNATAKA","MAHARASHTRA"
"28","29","7","2023","39","KARNATAKA","ANDHRA PRADESH"
"32","29","7","2023","14","KARNATAKA","KERALA"
"33","29","7","2023","44","KARNATAKA","TAMIL NADU"
"05","30","7","2023","4","GOA","UTTARAKHAND"
"06","30","7","2023","2","GOA","HARYANA"
"08","30","7","2023","4","GOA","RAJASTHAN"
"09","30","7","2023","210","GOA","UTTAR PRADESH"
"10","30","7","2023","185","GOA","BIHAR"
"18","30","7","2023","4","GOA","ASSAM"
"19","30","7","2023","5","GOA","WEST BENGAL"
"20","30","7","2023","4","GOA","JHARKHAND"
"22","30","7","2023","13","GOA","CHHATTISGARH"
"23","30","7","2023","33","GOA","MADHYA PRADESH"
"27","30","7","2023","35","GOA","MAHARASHTRA"
"29","30","7","2023","147","GOA","KARNATAKA"
"32","30","7","2023","1","GOA","KERALA"
"33","30","7","2023","1","GOA","TAMIL NADU"
"01","32","7","2023","2","KERALA","JAMMU AND KASHMIR"
"05","32","7","2023","2","KERALA","UTTARAKHAND"
"07","32","7","2023","5","KERALA","DELHI"
"08","32","7","2023","5","KERALA","RAJASTHAN"
"09","32","7","2023","111","KERALA","UTTAR PRADESH"
"10","32","7","2023","431","KERALA","BIHAR"
"18","32","7","2023","24","KERALA","ASSAM"
"19","32","7","2023","34","KERALA","WEST BENGAL"
"20","32","7","2023","15","KERALA","JHARKHAND"
"21","32","7","2023","16","KERALA","ODISHA"
"22","32","7","2023","9","KERALA","CHHATTISGARH"
"23","32","7","2023","113","KERALA","MADHYA PRADESH"
"24","32","7","2023","4","KERALA","GUJARAT"
"27","32","7","2023","65","KERALA","MAHARASHTRA"
"28","32","7","2023","9","KERALA","ANDHRA PRADESH"
"29","32","7","2023","146","KERALA","KARNATAKA"
"33","32","7","2023","167","KERALA","TAMIL NADU"
"07","33","7","2023","3","TAMIL NADU","DELHI"
"08","33","7","2023","2","TAMIL NADU","RAJASTHAN"
"09","33","7","2023","9","TAMIL NADU","UTTAR PRADESH"
"10","33","7","2023","326","TAMIL NADU","BIHAR"
"20","33","7","2023","1","TAMIL NADU","JHARKHAND"
"23","33","7","2023","1","TAMIL NADU","MADHYA PRADESH"
"27","33","7","2023","12","TAMIL NADU","MAHARASHTRA"
"28","33","7","2023","9","TAMIL NADU","ANDHRA PRADESH"
"29","33","7","2023","6","TAMIL NADU","KARNATAKA"
"32","33","7","2023","12","TAMIL NADU","KERALA"
"19","35","7","2023","7","ANDAMAN AND NICOBAR ISLANDS","WEST BENGAL"
"33","35","7","2023","2","ANDAMAN AND NICOBAR ISLANDS","TAMIL NADU"
"01","36","7","2023","2","TELANGANA","JAMMU AND KASHMIR"
"05","36","7","2023","2","TELANGANA","UTTARAKHAND"
"06","36","7","2023","2","TELANGANA","HARYANA"
"07","36","7","2023","4","TELANGANA","DELHI"
"08","36","7","2023","11","TELANGANA","RAJASTHAN"
"10","36","7","2023","266","TELANGANA","BIHAR"
"14","36","7","2023","1","TELANGANA","MANIPUR"
"16","36","7","2023","1","TELANGANA","TRIPURA"
"18","36","7","2023","4","TELANGANA","ASSAM"
"19","36","7","2023","12","TELANGANA","WEST BENGAL"
"22","36","7","2023","118","TELANGANA","CHHATTISGARH"
"23","36","7","2023","123","TELANGANA","MADHYA PRADESH"
"24","36","7","2023","3","TELANGANA","GUJARAT"
"27","36","7","2023","474","TELANGANA","MAHARASHTRA"
"28","36","7","2023","673","TELANGANA","ANDHRA PRADESH"
"29","36","7","2023","354","TELANGANA","KARNATAKA"
"32","36","7","2023","3","TELANGANA","KERALA"
"33","36","7","2023","10","TELANGANA","TAMIL NADU"
"01","37","7","2023","10","LADAKH","JAMMU AND KASHMIR"
"08","37","7","2023","1","LADAKH","RAJASTHAN"
"09","37","7","2023","1","LADAKH","UTTAR PRADESH"
"10","37","7","2023","5","LADAKH","BIHAR"
"22","37","7","2023","11","LADAKH","CHHATTISGARH"
"23","37","7","2023","10","LADAKH","MADHYA PRADESH"
"27","37","7","2023","2","LADAKH","MAHARASHTRA"
